name,lat,lon
Esgl\u00e9sia de Sant Pere del castell,41.436458,1.868592
Esgl\u00e9sia de Sant Sadurn\u00ed de la Marca ,41.334656,1.582672
Esgl\u00e9sia de Sant Valent\u00ed de les Cabanyes,41.373842,1.69304
Esgl\u00e9sia de Santa Margarida,41.313253,1.667194
Esgl\u00e9sia de Santa Maria de La Bleda,41.343575,1.660849
Esgl\u00e9sia de Santa Maria de Lavit,41.446673,1.729922
Esgl\u00e9sia de Santa Maria de Penyafel,41.316178,1.68365
Esgl\u00e9sia de Santa Maria de Sant Mart\u00ed Sarroca ,41.380278,1.611111
Esgl\u00e9sia de Santa Maria del castell de Mediona,41.47625,1.641472
Esgl\u00e9sia de Santa Maria Magdalena del Pla,41.41765,1.7128
Esgl\u00e9sia parroquial de Sant Pere,41.45379,1.70328
Esgl\u00e9sia parroquial de Sant Sadurn\u00ed,41.424708,1.789755
Esgl\u00e9sia parroquial de Santa Magdalena,41.417514,1.518983
Santuari de Santa Maria de Foix,41.415042,1.5641
Convent de Sant Francesc,41.345226,1.697304
Monestir de Sant Sebasti\u00e0 dels Gorgs,41.380644,1.765692
Campanar de Santa Maria,41.347073,1.697775
Pont de l\u2019Arcada,41.379444,1.869167
Pont Nou,41.45,1.691636
Pont de Castellb\u00f2,42.373722,1.357528
Pont de l\u2019Esquella,42.1175,1.304306
Torre colomer,42.404263,1.545151
Torre colomer,42.374317,1.526354
Torre colomer d&#8217;en Jovany,42.511345,1.4376
Torre colomer de Castellb\u00f2,42.374828,1.358506
Castell d&#8217;Aguilar,42.016389,1.275278
Castell d&#8217;Alt\u00e8s,42.018982,1.31896
Castell d&#8217;Aristot,42.379555,1.623324
Castell d&#8217;Ars,42.44677,1.396878
Castell d&#8217;Oliana ,42.085419,1.299334
Castell de Bar,42.358334,1.639656
Castell de Castell-llebre,42.085075,1.289649
Castell de Castellb\u00f3,42.374596,1.356001
Castell de Castellciutat,42.357609,1.445467
Castell de Castellnou de Carcolze,42.387638,1.582192
Castell de Cava ,42.325245,1.606662
Castell de Gavarra,42.104382,1.196281
Castell de Josa,42.257271,1.618904
Castell de La Clua,41.991219,1.277756
Castell de Montanissell,42.194771,1.256325
Castell de Peramola ,42.057198,1.267475
Castell de Salsa,42.035072,1.343355
Castell de Toloriu,42.363007,1.628501
Castell de Tost,42.272778,1.38373
Castell de Valldarques,42.144623,1.23502
Castell del Quer Foradat,42.324047,1.636287
Torre dels moros,42.052612,1.269071
Torre Solsona,42.361439,1.449696
Torres d&#8217;Ogern,42.023628,1.340472
